final_species_name,Cro,A,SpC,InC,InB,SpF,DCS,PVS,DS,LS,VnS,NPRC,SbO,GF,EGFS,DHS,M,TL4,FL4,DC,nPVS,nMS,nVrS,nVnS,nInL,nPM,ncPM,nGS,nCRo,nbNSpL,nLS,ncIp,nbCoA,nSpL,nPR,nSbO,nSpC,nbSbOSpL,TL,SVL,sex,n4TL,n4FL,nS4FL,nDlT,nArT,nAlT
E_capetinga,1,0,0,0,0,0,0,2,2,0,1,0,0,0,1,1,1,0,0,1,68,53,68,37,8,2,7,37,4,0,7,9,3,9,7,11,4,1,210,88,F,33,22,4,11,33,155
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,58,49,60,34,8,2,7,31,3,1,5,11,3,8,7,11,6,0,175,68,M,31,19,2,11,29,NA
E_capetinga,0,1,1,0,1,1,0,2,2,0,1,1,0,1,0,1,1,0,0,1,58,50,70,35,8,2,7,40,3,1,7,9,3,8,7,10,6,1,180,61,M,26,18,3,9,31,NA
E_capetinga,1,1,1,0,1,0,0,2,2,0,1,1,0,1,1,1,1,0,0,1,62,56,72,35,8,2,7,33,3,1,6,9,4,8,7,10,6,1,166,66,M,29,22,3,12,32,NA
E_capetinga,0,1,1,0,2,1,0,2,2,0,1,1,0,1,0,1,1,0,0,1,63,53,78,35,7,2,7,37,4,1,7,8,3,8,8,11,6,1,175,75,F,31,19,3,12,35,NA
E_capetinga,1,1,0,0,2,1,0,2,2,0,1,1,0,1,1,0,1,0,0,1,56,51,55,33,7,2,7,38,4,1,8,10,4,8,9,11,5,1,158,69,F,26,16,2,8,28,NA
E_capetinga,1,0,1,0,1,0,0,2,2,0,1,1,0,1,0,1,1,0,0,1,64,48,69,33,8,2,11,33,4,1,5,9,3,7,8,11,4,1,221,79,M,28,17,3,8,29,150
E_capetinga,1,0,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,68,50,71,36,8,2,7,33,4,1,8,10,1,8,7,12,6,1,159,59,NA,28,20,3,9,28,NA
E_capetinga,1,1,0,0,1,1,0,2,2,0,1,1,0,1,0,1,0,0,0,1,61,56,68,36,7,2,5,32,4,1,5,8,2,7,9,12,6,1,182,75,NA,28,18,2,9,28,151
E_capetinga,1,1,1,0,1,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,68,54,60,35,7,1,6,29,4,1,7,8,1,9,7,12,6,1,163,63,F,29,20,3,11,31,156
E_capetinga,1,1,1,0,0,1,0,2,2,0,1,1,0,1,0,0,1,0,0,1,72,51,72,34,9,2,6,35,3,1,6,8,1,9,8,13,7,1,185,70,M,30,20,3,11,30,158
